id,name,address,category,naver_category,new_cuisine_type,new_main_category
22,는(neun),"서울특별시 중구 청구로4길 19, 1층 101호 (신당동)",기타,,기타,RESTAURANT
67,LIKETHIZ 1601(라이크디즈 1601),"서울특별시 중구 서소문로 116, 유원빌딩 16층층 1601호,1602호 (서소문동)",기타,"문화,예술>전시관",기타,RESTAURANT
108,연락,"서울특별시 중구 수표로2길 23, 1층 (충무로3가)",기타,"여행,명소>유적지,사적지",기타,RESTAURANT
109,이끼,"서울특별시 중구 다산로29길 30, 1층 (신당동)",기타,"음식점>카페,디저트",카페,CAFE
139,머곰(meogom),"서울특별시 중구 다산로 85, 지1층 (신당동)",기타,,기타,RESTAURANT
157,낫파운드모어,"서울특별시 중구 퇴계로87길 43-21, 2층 (황학동)",기타,,기타,RESTAURANT
187,리틀베케이션(Little vacation),"서울특별시 중구 을지로1길 15, 서광빌딩 1층 (을지로1가)",기타,"카페,디저트>카페",카페,CAFE
572,청개구리,"서울특별시 중구 필동로 7 (필동2가,(지상1층))",기타,"술집>맥주,호프",술집/바,PUB
836,진사댁,"서울특별시 중구 명동길 30-1, 3층 (명동2가)",기타,한식>한정식,한식,RESTAURANT
919,본연,"서울특별시 마포구 동교로 71-1, 승연빌딩 1층 (망원동)",기타,"음식점>카페,디저트",카페,CAFE
866,수,"서울특별시 중구 퇴계로86길 18 (신당동,(지하1층))",기타,중식>중식당,중식,RESTAURANT
968,꾸찌꾸찌,"서울특별시 중구 청파로 464 (중림동,외4필지(지상1층113호))",기타,"술집>맥주,호프",술집/바,PUB
1011,볼,"서울특별시 중구 을지로12길 29, 4층 (초동)",기타,"문화,예술>복합문화공간",기타,RESTAURANT
1014,초앙,"서울특별시 중구 수표로10길 14, 3층 (저동2가)",기타,술집>바(BAR),술집/바,PUB
1078,만리향,"서울특별시 중구 마른내로6길 15, 3층 (인현동2가)",기타,중식>중식당,중식,RESTAURANT
1026,오늘,"서울특별시 중구 을지로33길 14, 2층 (주교동)",기타,양식>샌드위치,패스트푸드,RESTAURANT
1281,홍밀밀,"서울특별시 중구 명동길 74 (명동2가, 지하1층)",기타,"카페,디저트>카페",카페,CAFE
1416,사마르칸트,"서울특별시 중구 마른내로 159-21 (광희동1가,(지상1층))",기타,음식점>양식,양식,RESTAURANT
1417,살로스(ZALUUS),"서울특별시 중구 을지로44길 12 (광희동1가,(지상3층301호))",기타,,기타,RESTAURANT
1443,라따블,"서울특별시 중구 남대문로 78 (명동1가,외8필지(지상18층))",기타,음식점>양식,양식,RESTAURANT
1556,버들이야기,"서울특별시 중구 중림로 10 (중림동,상가2(지상1층 103-1호))",기타,"술집>맥주,호프",술집/바,PUB
1674,무학,"서울특별시 중구 왕십리로 399 (신당동,(지상1층))",기타,"한식>육류,고기요리",고기/구이,RESTAURANT
1720,야나기,"서울특별시 중구 청파로 464 (중림동,204호(지상2층))",기타,패션>여성의류,기타,RESTAURANT
1732,뉴욕 브리토,"서울특별시 중구 장충단로 263, 9층 (을지로6가, 밀리오레 9층)",기타,,기타,RESTAURANT
1779,파워우먼,"서울특별시 중구 을지로44길 12 (광희동1가,(지상2층))",기타,,기타,RESTAURANT
1789,서울,"서울특별시 중구 을지로 82 (을지로2가,(지하1층))",기타,숙박>호텔,기타,RESTAURANT
1898,느낌,"서울특별시 중구 퇴계로 428-5, 1층 (신당동)",기타,"쇼핑,유통>트로피,상패",기타,RESTAURANT
1969,이리로,"서울특별시 중구 필동로1길 7, 1층 (필동3가)",기타,"음식점>카페,디저트",카페,CAFE
1977,촙촙,"서울특별시 중구 수표로 46, 2층 (저동2가)",기타,음식점>베트남음식,아시아음식,RESTAURANT
2034,화이트 브릭 야드 (WHITE BRICK YARD),"서울특별시 중구 퇴계로80길 51-6, 1층 (신당동)",기타,"음식점>카페,디저트",카페,CAFE
2124,메가박스 동대문,"서울특별시 중구 장충단로 247, 9층 (을지로6가, 굿모닝시티 9층 901-01호)",기타,"문화,예술>영화관",기타,RESTAURANT
2215,디씨씨,"서울특별시 중구 서소문로 115 (서소문동, 한산빌딩 105호)",기타,"음식점>카페,디저트",카페,CAFE
2253,키라키라윤,"서울특별시 중구 다산로39길 20, 1층 (무학동)",기타,술집>이자카야,술집/바,PUB
